"id","TotalTime","RecipeCategory","Calories","FatContent","ConcentratedFatContent","CholesterolContent","SodiumContent","CarbohydratesContent","FiberContent","SugarContent","ProteinContent","name","ingredients","steps","tags","disease"
"1231","PT1H15M","Breakfast","78.6","6.9","2.1","7.3","516.3","1","0.2","0.2","3.4","Parmesan Hash Brown Cups","['simply potatoes%26reg%3b shredded hash browns', 'green onions', 'parmesan cheese', 'kosher salt', 'black pepper', 'olive oil']","['Preheat oven to 350 degrees. Coat 12 muffin tins with cooking spray; set aside. In large bowl, combine potatoes, onions, cheese, salt, and pepper. Toss lightly with a fork. Drizzle on olive oil. Toss with fork again until mixture is well combined. Spoon mixture evenly into 12 muffin cups. With the back of the spoon, apply gentle pressure to pack mixture into each cup. Bake for 60-75 minutes in lower third of oven. Let rest for 5 minutes, run a small knife or spatula around the edge of each cup, making sure the edges are loosened. Gently lift each potato cup out, invert it, place on serving plate bottom side up. Good served warm or room temperature.', 'MAKE AHEAD FOR COOKING LATER: Combine mixture, spoon it into muffin tins, cover with plastic wrap, and refrigerate until ready to bake. Remove from fridge 30 minutes before baking time. May be made the night before to cook and serve for breakfast the next day.', 'MAKE AND COOK AHEAD FOR REHEATING LATER: These are best when eaten freshly baked. However, they can be baked ahead of time, refrigerated or frozen, and reheated before serving. They lose some of their crispiness when reheated, but the texture and taste is still good.', 'FOR BITE-SIZE TATER TOTS - make them in mini muffin pans.']","['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', 'very-low-carbs', 'breakfast', 'potatoes', 'vegetables', 'dietary', 'low-cholesterol', 'low-calorie', 'low-carb', 'low-in-something', 'onions', 'brunch', '4-hours-or-less']","1"
"1341","PT1H15M","Breakfast","78.6","6.9","2.1","7.3","516.3","1","0.2","0.2","3.4","Parmesan Hash Brown Cups","['simply potatoes%26reg%3b shredded hash browns', 'green onions', 'parmesan cheese', 'kosher salt', 'black pepper', 'olive oil']","['Preheat oven to 350 degrees. Coat 12 muffin tins with cooking spray; set aside. In large bowl, combine potatoes, onions, cheese, salt, and pepper. Toss lightly with a fork. Drizzle on olive oil. Toss with fork again until mixture is well combined. Spoon mixture evenly into 12 muffin cups. With the back of the spoon, apply gentle pressure to pack mixture into each cup. Bake for 60-75 minutes in lower third of oven. Let rest for 5 minutes, run a small knife or spatula around the edge of each cup, making sure the edges are loosened. Gently lift each potato cup out, invert it, place on serving plate bottom side up. Good served warm or room temperature.', 'MAKE AHEAD FOR COOKING LATER: Combine mixture, spoon it into muffin tins, cover with plastic wrap, and refrigerate until ready to bake. Remove from fridge 30 minutes before baking time. May be made the night before to cook and serve for breakfast the next day.', 'MAKE AND COOK AHEAD FOR REHEATING LATER: These are best when eaten freshly baked. However, they can be baked ahead of time, refrigerated or frozen, and reheated before serving. They lose some of their crispiness when reheated, but the texture and taste is still good.', 'FOR BITE-SIZE TATER TOTS - make them in mini muffin pans.']","['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'low-protein', 'very-low-carbs', 'breakfast', 'potatoes', 'vegetables', 'dietary', 'low-cholesterol', 'low-calorie', 'low-carb', 'low-in-something', 'onions', 'brunch', '4-hours-or-less']","1"
"1385","PT30M","Breakfast","133","9.7","4.7","203.3","257.6","1.1","0","0.9","9.8","Simply &quot;Dilly-Icous&quot; Egg Sandwich #5FIX","['simply potatoes diced potatoes with onion', 'eggs', 'mexican blend cheese', 'raspberry chipotle jam', 'andouille sausages']","['1. Cut sausages on the bias &amp; cook in skillet, sprayed, until each side is browned. Lay on paper towels, to drain &amp; set aside.', '2. Spray the inside of a stainless 3 1/2"" x 1 1/2\'\' high cutter or mold (usually come in graduated size sets in cake supplies stores).', '3. Chop potatoes about to half the size they are.', '4. In a med size bowl, mix the potatoes, cheese &amp; eggs well.', '5. Put very little cooking oil on a griddle &amp; heat on medium heat.', '6. Place the round mold(s) on griddle.', '7. Pour 1/4 mixture into each mold &amp; cook on medium-low heat, with a lid covering them for about 5 minutes or until golden brown.', '8. Flip the whole thing over while still in the mold &amp; continue cooking on second side for another 3-4 minutes, or until golden brown.', '9. While still on griddle, run a small sharp knife around the edges of each mold. Should loosen easily.', '10. Remove from griddle with spatula &amp; plate it.', '11. Spread 1/8 cup Raspberry Chipolte jam on each round, then top each with 1/4 of the sausages.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', '5-ingredients-or-less', 'omelets-and-frittatas', 'breakfast', 'eggs-dairy', 'potatoes', 'vegetables', 'american', 'easy', 'beginner-cook', 'cheese', 'eggs', 'midwestern', 'inexpensive', 'brunch', 'number-of-servings', 'presentation', 'served-hot', 'simply-potatoes']","3"
"1386","PT30M","Breakfast","133","9.7","4.7","203.3","257.6","1.1","0","0.9","9.8","Simply &quot;Dilly-Icous&quot; Egg Sandwich #5FIX","['simply potatoes diced potatoes with onion', 'eggs', 'mexican blend cheese', 'raspberry chipotle jam', 'andouille sausages']","['1. Cut sausages on the bias &amp; cook in skillet, sprayed, until each side is browned. Lay on paper towels, to drain &amp; set aside.', '2. Spray the inside of a stainless 3 1/2"" x 1 1/2\'\' high cutter or mold (usually come in graduated size sets in cake supplies stores).', '3. Chop potatoes about to half the size they are.', '4. In a med size bowl, mix the potatoes, cheese &amp; eggs well.', '5. Put very little cooking oil on a griddle &amp; heat on medium heat.', '6. Place the round mold(s) on griddle.', '7. Pour 1/4 mixture into each mold &amp; cook on medium-low heat, with a lid covering them for about 5 minutes or until golden brown.', '8. Flip the whole thing over while still in the mold &amp; continue cooking on second side for another 3-4 minutes, or until golden brown.', '9. While still on griddle, run a small sharp knife around the edges of each mold. Should loosen easily.', '10. Remove from griddle with spatula &amp; plate it.', '11. Spread 1/8 cup Raspberry Chipolte jam on each round, then top each with 1/4 of the sausages.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', '5-ingredients-or-less', 'omelets-and-frittatas', 'breakfast', 'eggs-dairy', 'potatoes', 'vegetables', 'american', 'easy', 'beginner-cook', 'cheese', 'eggs', 'midwestern', 'inexpensive', 'brunch', 'number-of-servings', 'presentation', 'served-hot', 'simply-potatoes']","3"
"1388","PT30M","Breakfast","133","9.7","4.7","203.3","257.6","1.1","0","0.9","9.8","Simply &quot;Dilly-Icous&quot; Egg Sandwich #5FIX","['simply potatoes diced potatoes with onion', 'eggs', 'mexican blend cheese', 'raspberry chipotle jam', 'andouille sausages']","['1. Cut sausages on the bias &amp; cook in skillet, sprayed, until each side is browned. Lay on paper towels, to drain &amp; set aside.', '2. Spray the inside of a stainless 3 1/2"" x 1 1/2\'\' high cutter or mold (usually come in graduated size sets in cake supplies stores).', '3. Chop potatoes about to half the size they are.', '4. In a med size bowl, mix the potatoes, cheese &amp; eggs well.', '5. Put very little cooking oil on a griddle &amp; heat on medium heat.', '6. Place the round mold(s) on griddle.', '7. Pour 1/4 mixture into each mold &amp; cook on medium-low heat, with a lid covering them for about 5 minutes or until golden brown.', '8. Flip the whole thing over while still in the mold &amp; continue cooking on second side for another 3-4 minutes, or until golden brown.', '9. While still on griddle, run a small sharp knife around the edges of each mold. Should loosen easily.', '10. Remove from griddle with spatula &amp; plate it.', '11. Spread 1/8 cup Raspberry Chipolte jam on each round, then top each with 1/4 of the sausages.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', '5-ingredients-or-less', 'omelets-and-frittatas', 'breakfast', 'eggs-dairy', 'potatoes', 'vegetables', 'american', 'easy', 'beginner-cook', 'cheese', 'eggs', 'midwestern', 'inexpensive', 'brunch', 'number-of-servings', 'presentation', 'served-hot', 'simply-potatoes']","3"
"1389","PT30M","Breakfast","133","9.7","4.7","203.3","257.6","1.1","0","0.9","9.8","Simply &quot;Dilly-Icous&quot; Egg Sandwich #5FIX","['simply potatoes diced potatoes with onion', 'eggs', 'mexican blend cheese', 'raspberry chipotle jam', 'andouille sausages']","['1. Cut sausages on the bias &amp; cook in skillet, sprayed, until each side is browned. Lay on paper towels, to drain &amp; set aside.', '2. Spray the inside of a stainless 3 1/2"" x 1 1/2\'\' high cutter or mold (usually come in graduated size sets in cake supplies stores).', '3. Chop potatoes about to half the size they are.', '4. In a med size bowl, mix the potatoes, cheese &amp; eggs well.', '5. Put very little cooking oil on a griddle &amp; heat on medium heat.', '6. Place the round mold(s) on griddle.', '7. Pour 1/4 mixture into each mold &amp; cook on medium-low heat, with a lid covering them for about 5 minutes or until golden brown.', '8. Flip the whole thing over while still in the mold &amp; continue cooking on second side for another 3-4 minutes, or until golden brown.', '9. While still on griddle, run a small sharp knife around the edges of each mold. Should loosen easily.', '10. Remove from griddle with spatula &amp; plate it.', '11. Spread 1/8 cup Raspberry Chipolte jam on each round, then top each with 1/4 of the sausages.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', '5-ingredients-or-less', 'omelets-and-frittatas', 'breakfast', 'eggs-dairy', 'potatoes', 'vegetables', 'american', 'easy', 'beginner-cook', 'cheese', 'eggs', 'midwestern', 'inexpensive', 'brunch', 'number-of-servings', 'presentation', 'served-hot', 'simply-potatoes']","3"
"1390","PT30M","Breakfast","133","9.7","4.7","203.3","257.6","1.1","0","0.9","9.8","Simply &quot;Dilly-Icous&quot; Egg Sandwich #5FIX","['simply potatoes diced potatoes with onion', 'eggs', 'mexican blend cheese', 'raspberry chipotle jam', 'andouille sausages']","['1. Cut sausages on the bias &amp; cook in skillet, sprayed, until each side is browned. Lay on paper towels, to drain &amp; set aside.', '2. Spray the inside of a stainless 3 1/2"" x 1 1/2\'\' high cutter or mold (usually come in graduated size sets in cake supplies stores).', '3. Chop potatoes about to half the size they are.', '4. In a med size bowl, mix the potatoes, cheese &amp; eggs well.', '5. Put very little cooking oil on a griddle &amp; heat on medium heat.', '6. Place the round mold(s) on griddle.', '7. Pour 1/4 mixture into each mold &amp; cook on medium-low heat, with a lid covering them for about 5 minutes or until golden brown.', '8. Flip the whole thing over while still in the mold &amp; continue cooking on second side for another 3-4 minutes, or until golden brown.', '9. While still on griddle, run a small sharp knife around the edges of each mold. Should loosen easily.', '10. Remove from griddle with spatula &amp; plate it.', '11. Spread 1/8 cup Raspberry Chipolte jam on each round, then top each with 1/4 of the sausages.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', '5-ingredients-or-less', 'omelets-and-frittatas', 'breakfast', 'eggs-dairy', 'potatoes', 'vegetables', 'american', 'easy', 'beginner-cook', 'cheese', 'eggs', 'midwestern', 'inexpensive', 'brunch', 'number-of-servings', 'presentation', 'served-hot', 'simply-potatoes']","2"
"1393","PT30M","Breakfast","133","9.7","4.7","203.3","257.6","1.1","0","0.9","9.8","Simply &quot;Dilly-Icous&quot; Egg Sandwich #5FIX","['simply potatoes diced potatoes with onion', 'eggs', 'mexican blend cheese', 'raspberry chipotle jam', 'andouille sausages']","['1. Cut sausages on the bias &amp; cook in skillet, sprayed, until each side is browned. Lay on paper towels, to drain &amp; set aside.', '2. Spray the inside of a stainless 3 1/2"" x 1 1/2\'\' high cutter or mold (usually come in graduated size sets in cake supplies stores).', '3. Chop potatoes about to half the size they are.', '4. In a med size bowl, mix the potatoes, cheese &amp; eggs well.', '5. Put very little cooking oil on a griddle &amp; heat on medium heat.', '6. Place the round mold(s) on griddle.', '7. Pour 1/4 mixture into each mold &amp; cook on medium-low heat, with a lid covering them for about 5 minutes or until golden brown.', '8. Flip the whole thing over while still in the mold &amp; continue cooking on second side for another 3-4 minutes, or until golden brown.', '9. While still on griddle, run a small sharp knife around the edges of each mold. Should loosen easily.', '10. Remove from griddle with spatula &amp; plate it.', '11. Spread 1/8 cup Raspberry Chipolte jam on each round, then top each with 1/4 of the sausages.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', '5-ingredients-or-less', 'omelets-and-frittatas', 'breakfast', 'eggs-dairy', 'potatoes', 'vegetables', 'american', 'easy', 'beginner-cook', 'cheese', 'eggs', 'midwestern', 'inexpensive', 'brunch', 'number-of-servings', 'presentation', 'served-hot', 'simply-potatoes']","1"
"1397","PT30M","Breakfast","133","9.7","4.7","203.3","257.6","1.1","0","0.9","9.8","Simply &quot;Dilly-Icous&quot; Egg Sandwich #5FIX","['simply potatoes diced potatoes with onion', 'eggs', 'mexican blend cheese', 'raspberry chipotle jam', 'andouille sausages']","['1. Cut sausages on the bias &amp; cook in skillet, sprayed, until each side is browned. Lay on paper towels, to drain &amp; set aside.', '2. Spray the inside of a stainless 3 1/2"" x 1 1/2\'\' high cutter or mold (usually come in graduated size sets in cake supplies stores).', '3. Chop potatoes about to half the size they are.', '4. In a med size bowl, mix the potatoes, cheese &amp; eggs well.', '5. Put very little cooking oil on a griddle &amp; heat on medium heat.', '6. Place the round mold(s) on griddle.', '7. Pour 1/4 mixture into each mold &amp; cook on medium-low heat, with a lid covering them for about 5 minutes or until golden brown.', '8. Flip the whole thing over while still in the mold &amp; continue cooking on second side for another 3-4 minutes, or until golden brown.', '9. While still on griddle, run a small sharp knife around the edges of each mold. Should loosen easily.', '10. Remove from griddle with spatula &amp; plate it.', '11. Spread 1/8 cup Raspberry Chipolte jam on each round, then top each with 1/4 of the sausages.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', '5-ingredients-or-less', 'omelets-and-frittatas', 'breakfast', 'eggs-dairy', 'potatoes', 'vegetables', 'american', 'easy', 'beginner-cook', 'cheese', 'eggs', 'midwestern', 'inexpensive', 'brunch', 'number-of-servings', 'presentation', 'served-hot', 'simply-potatoes']","2"
"1400","PT30M","Breakfast","133","9.7","4.7","203.3","257.6","1.1","0","0.9","9.8","Simply &quot;Dilly-Icous&quot; Egg Sandwich #5FIX","['simply potatoes diced potatoes with onion', 'eggs', 'mexican blend cheese', 'raspberry chipotle jam', 'andouille sausages']","['1. Cut sausages on the bias &amp; cook in skillet, sprayed, until each side is browned. Lay on paper towels, to drain &amp; set aside.', '2. Spray the inside of a stainless 3 1/2"" x 1 1/2\'\' high cutter or mold (usually come in graduated size sets in cake supplies stores).', '3. Chop potatoes about to half the size they are.', '4. In a med size bowl, mix the potatoes, cheese &amp; eggs well.', '5. Put very little cooking oil on a griddle &amp; heat on medium heat.', '6. Place the round mold(s) on griddle.', '7. Pour 1/4 mixture into each mold &amp; cook on medium-low heat, with a lid covering them for about 5 minutes or until golden brown.', '8. Flip the whole thing over while still in the mold &amp; continue cooking on second side for another 3-4 minutes, or until golden brown.', '9. While still on griddle, run a small sharp knife around the edges of each mold. Should loosen easily.', '10. Remove from griddle with spatula &amp; plate it.', '11. Spread 1/8 cup Raspberry Chipolte jam on each round, then top each with 1/4 of the sausages.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', '5-ingredients-or-less', 'omelets-and-frittatas', 'breakfast', 'eggs-dairy', 'potatoes', 'vegetables', 'american', 'easy', 'beginner-cook', 'cheese', 'eggs', 'midwestern', 'inexpensive', 'brunch', 'number-of-servings', 'presentation', 'served-hot', 'simply-potatoes']","2"
